"Name";"English name";"Other name";"Genres";"Synopsis";"Type";"Episodes";"Aired";"Year";"Status";"Producers";"Licensors";"Studios";"Source";"Duration";"Image URL"
"Evangelion: 3.0+1.0 Thrice Upon a Time";"Evangelion: 3.0+1.0 Thrice Upon a Time";"シン・エヴァンゲリオン劇場版:||";"Action, Award Winning, Drama, Sci-Fi, Suspense";"Following NERV's failed attempt to retrieve the Spears of Longinus and carry out the Human Instrumentality Project, the destruction caused by the Fourth Impact has been largely averted. In a state of disarray, Shinji Ikari, Asuka Langley Shikinami, and Rei Ayanami travel to Village 3—a survivor settlement free from Earth's ruination. There, Shinji slowly comes to terms with his past, developing an entirely different life from his days as an Evangelion pilot.

Meanwhile, NERV makes preparations to continue the Instrumentality Project by means of a new Impact. When WILLE's main aerial battleship arrives at the village, Shinji decides to board, believing that he can help by piloting an Evangelion. As new secrets are uncovered and a battle between WILLE and NERV approaches, the future of Earth hangs in the balance. Can Shinji save humanity and the rest of the world one last time?";"Movie";"1";"2021/03/08";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Khara";"Original";"155";"https://cdn.myanimelist.net/images/anime/1422/113533.jpg"
"KanColle: Itsuka Ano Umi de";"KanColle Season 2: Let's Meet at Sea";"艦これ いつかあの海で";"Action, Sci-Fi, Slice of Life";"The dawn of a decisive battle nears in Leyte Gulf against the Abyssal Fleet, the mysterious enemies that occupy the sea. As the only ones capable of fighting them, Kanmusu—young girls possessing the souls of warships—reorganize in preparation. The Shiratsuyu-class destroyer Shigure is assigned to the First Striking Force, Third Section—also known as 1YB3H.

Unfortunately for Shigure, 1YB3H consists of the remaining few Kanmusu and serves as a diversionary fleet. Needing to confront the Abyssal Fleet head-on, it may well be their first and final mission together. Even so, Shigure refuses to let the enemy take another comrade from her. As they advance toward Leyte Gulf during this suicidal mission, the members of 1YB3H must support each other and persevere to prove their worth as competent ships.";"TV";"8";"2022/11/04";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"ENGI";"Game";"23";"https://cdn.myanimelist.net/images/anime/1907/135109.jpg"
"Nisshin Seifun Group CM";"UNKNOWN";"日清製粉グループCM";"Slice of Life";"Nisshin Seifun Group commissioned 4 commercials for a mascot, Konyara, from Studio Ghibli to promote their company. The first commercial was for their 110th anniversary.";"Special";"4";"2022/11/28";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Studio Ghibli";"Other";"30";"https://cdn.myanimelist.net/images/anime/11/81240.jpg"
"Gekidol: Actidol Project";"Gekidol";"ゲキドル";"Drama, Sci-Fi";"Five years ago, a mysterious phenomenon known as the Global Synchronic Urban Disappearance caused a large chunk of Ikebukuro to disappear overnight. Following the catastrophe, the inhabitants found themselves thrown into a state of disorder, and unexplained electromagnetic anomalies called ""Auroras"" began to be sighted.

Awed by the performance of idol Izumi Hinazaki at a play utilizing the ""Super Material Theater,"" a stage designed to revitalize Ikebukuro through hologram-enhanced plays, high school student Seria Morino is inspired to become an idol. Shortly afterward, she is scouted by a young woman named Kaoru Sakakibara, who turns out to be the director of Alice in Theater—the troupe that Izumi used to be a part of.

Aiming to pursue her dreams, Seria decides to follow Kaoru and joins Alice in Theater. Upon arriving at their establishment, she is cordially welcomed by a group of young and friendly girls who are all very passionate about acting. However, something seems to be amiss…";"TV";"12";"2021/01/05";"2021.0";"Finished Airing";"UNKNOWN";"Funimation";"Hoods Entertainment";"Original";"23";"https://cdn.myanimelist.net/images/anime/1195/111544.jpg"
"Fate/stay night Movie: Heaven's Feel - III. Spring Song";"Fate/stay night: Heaven's Feel - III. Spring Song";"劇場版「Fate/stay night [Heaven's Feel] III.spring song」";"Action, Fantasy, Supernatural";"The Fifth Holy Grail War in Fuyuki City has reached a turning point in which the lives of all participants are threatened as the hidden enemy finally reveals itself. As Shirou Emiya, Rin Toosaka, and Illyasviel von Einzbern discover the true, corruptive nature of the shadow that has been rampaging throughout the city, they realize just how dire the situation is. In order to protect their beloved ones, the group must hold their own against the seemingly insurmountable enemy force—even if some of those foes were once their allies, or perhaps, something more intimate.

As the final act of this chaotic war commences, the ideals Shirou believes will soon be challenged by an excruciating dilemma: is it really possible to save a world where everything seems to have gone wrong?";"Movie";"1";"2020/08/15";"2020.0";"Finished Airing";"Aniplex, Notes, Kadokawa";"Aniplex of America";"ufotable";"Visual novel";"122";"https://cdn.myanimelist.net/images/anime/1142/112957.jpg"
"Babyshiba";"UNKNOWN";"ベビしば";"Comedy";"The Mameshiba family has grown with their infant counterparts.

Contains:
2 Babyshiba Fruits commercials
2 Babyshiba Sweets commercials
2 Babyshiba claymation commercials
1 Babyshiba Fruits claymation commercial";"Special";"7";"2020/02/20";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"30";"https://cdn.myanimelist.net/images/anime/4/80693.jpg"
"Mameshiba Bangai-hen";"UNKNOWN";"豆しば番外編";"Comedy";"Assorted Mameshiba shorts that are not a part of the regular episodes nor new series or collaborations.

Includes:
Mamerry Christmas-hen (Christmas caroling, claymation)
5-Shuunen Party-hen (5th Mameversary, claymation)
Sakamichi Korokoro-hen (Mameshiba rolling down a hill)
Kansatsu-hen (Mameshiba being looked at under a magnifying glass)
Music Clip (a Mameshiba music video promoting the official YouTube channel launching)
Mameshiba Song (Mameshiba Beans of Trivia)
Mameshiba no Ouchi de Tanoshimu Mame Chishiki (Mameshiba Trivia Song)
Mamerry Christmas 2020
Mameshiba Halloween 2021
Mameshiba Halloween 2022
Mamerry Christmas 2022";"Special";"11";"2022/12/01";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"30";"https://cdn.myanimelist.net/images/anime/3/80697.jpg"
"Megaton-kyuu Musashi";"UNKNOWN";"メガトン級ムサシ";"Action, Sci-Fi";"In an ordinary town, there are people who live a peaceful and fulfilling life. But they don't know that it is a false peace. The untold truth... The earth has already been destroyed...

99.9% of the human race has been wiped out by a mysterious alien force from outer space. The enemy is named ""Dracters."" Eventually, a large hole was drilled in the earth and terraformed into a suitable environment for the aliens to live. Humans have no choice but to hide in shelters to escape their eyes. Waiting for the day of resurrection, which they do not know when it will come...

The inhabitants of the shelter Ixia have had their memories of the day of destruction erased, and live a normal life without knowing anything about it. However, some of them, the ""chosen ones,"" have become pilots, driving giant robots called ""Rogue"" and fighting against aliens. Today, another new pilot is selected...

(Source: Crunchyroll, edited)";"TV";"13";"2021/10/01";"2021.0";"Finished Airing";"Level-5";"UNKNOWN";"OLM";"Mixed media";"25";"https://cdn.myanimelist.net/images/anime/1317/116693.jpg"
"Alice in Deadly School";"UNKNOWN";"アリスインデッドリースクール";"UNKNOWN";"The story begins with the peaceful daily life of schoolgirls—which suddenly breaks down when former schoolmates become zombies. The story follows the actions taken by the girls left behind on the school roof.

(Source: ANN)

A short special edit of the OVA, titled Alice in Deadly School Tokubetsu-ban: Ima, Stage no Maku ga Agaru (Alice in Deadly School Special Edit -The Stage Begins-), was broadcasted on January 4, 2021 as part of the New Year's special.";"OVA";"1";"2021/03/03";"2021.0";"Finished Airing";"UNKNOWN";"Funimation";"Hoods Entertainment";"Other";"41";"https://cdn.myanimelist.net/images/anime/1614/110455.jpg"
"Suntory Tennensui CMs";"UNKNOWN";"サントリー天然水CMs";"Slice of Life";"Suntory commercials set in the alps.";"Special";"17";"2020/03/24";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"19";"https://cdn.myanimelist.net/images/anime/2/81598.jpg"
